,,linear_score,linear_score,perm_score,perm_score,angle_error,angle_error,final_loss,final_loss,training_time_seconds,diversity_violation_ratio
,,mean,std,mean,std,mean,std,mean,std,mean,first
process_name,d_fixed,,,,,,,,,,
InjectiveLinearDecoder_10D_70D,0,0.9694,0.0474,0.6218,0.0157,0.0282,0.0224,7.1302,0.0288,96.9622,0.0
InjectiveLinearDecoder_10D_70D,1,0.0232,0.0109,0.0617,0.0057,0.179,0.0015,4.8461,0.0236,97.4497,0.1
InjectiveLinearDecoder_10D_70D,2,0.0138,0.0026,0.0564,0.003,0.1799,0.0003,4.8115,0.0005,96.8626,0.2
InjectiveLinearDecoder_10D_70D,3,0.0269,0.0092,0.0757,0.0113,0.1786,0.0009,4.8094,0.0003,97.1748,0.3
InjectiveLinearDecoder_10D_70D,4,0.0607,0.0209,0.1109,0.0191,0.1755,0.0021,4.8088,0.0005,96.2818,0.4
InjectiveLinearDecoder_10D_70D,5,0.0993,0.0185,0.1435,0.0153,0.1717,0.0016,4.8085,0.0003,96.272,0.5
InjectiveLinearDecoder_10D_70D,6,0.1682,0.0169,0.1839,0.0192,0.1646,0.002,4.8086,0.0003,95.8998,0.6
InjectiveLinearDecoder_10D_70D,7,0.2129,0.0354,0.2261,0.0198,0.1596,0.0039,4.8086,0.0003,95.5569,0.7
InjectiveLinearDecoder_10D_70D,8,0.2383,0.049,0.2587,0.0324,0.1569,0.005,4.8086,0.0005,94.4132,0.8
InjectiveLinearDecoder_10D_70D,9,0.2989,0.0466,0.2957,0.0404,0.1495,0.0054,4.8087,0.0001,83.5233,0.9
InjectiveLinearDecoder_10D_70D,10,0.032,0.004,0.093,0.0079,0.1781,0.0005,4.8086,0.0005,82.5557,1.0
MonomialEmbedding_10D_70D,0,0.9904,0.0002,0.573,0.0136,0.0183,0.0001,7.1181,0.0337,96.7664,0.0
MonomialEmbedding_10D_70D,1,0.0154,0.0046,0.0526,0.0069,0.1794,0.0006,4.8576,0.009,97.7618,0.1
MonomialEmbedding_10D_70D,2,0.0151,0.0032,0.0584,0.0075,0.1797,0.0003,4.8128,0.0011,97.1952,0.2
MonomialEmbedding_10D_70D,3,0.0338,0.0081,0.0752,0.0075,0.178,0.0009,4.8099,0.0005,96.8202,0.3
MonomialEmbedding_10D_70D,4,0.0419,0.0036,0.0931,0.0078,0.1774,0.0003,4.8092,0.0004,96.6014,0.4
MonomialEmbedding_10D_70D,5,0.0967,0.0145,0.1396,0.0132,0.172,0.0016,4.809,0.0006,95.834,0.5
MonomialEmbedding_10D_70D,6,0.1845,0.0205,0.202,0.0107,0.163,0.002,4.8088,0.0003,95.1565,0.6
MonomialEmbedding_10D_70D,7,0.2837,0.0216,0.2826,0.0305,0.152,0.0022,4.8089,0.0005,95.9154,0.7
MonomialEmbedding_10D_70D,8,0.3482,0.0221,0.3138,0.0211,0.1441,0.0025,4.8089,0.0002,94.6564,0.8
MonomialEmbedding_10D_70D,9,0.4252,0.0563,0.3635,0.0299,0.1344,0.007,4.8087,0.0004,83.5961,0.9
MonomialEmbedding_10D_70D,10,0.0859,0.0323,0.1593,0.0322,0.1995,0.0242,4.2542,0.7555,82.7989,1.0
