Ratio,Linear,Linear_Std,Perm,Perm_Std,Angle,Angle_Std,Loss,Loss_Std
0,0.994,0,0.769,0.079,0.047,0.001,6.053,0.008
0.1,0.997,0,0.819,0.087,0.035,0.001,6.179,0.002
0.2,0.999,0,0.815,0.074,0.02,0.001,6.297,0.009
0.3,1,0,0.841,0.056,0.004,0.001,6.384,0.007
0.4,0.999,0,0.807,0.05,0.014,0,6.458,0.009
0.5,0.997,0,0.776,0.047,0.034,0.001,6.528,0.006
0.6,0.991,0,0.863,0.03,0.054,0,6.585,0.005
0.7,0.979,0.001,0.778,0.034,0.079,0.001,6.623,0.004
0.8,0.958,0,0.704,0.047,0.105,0.001,6.668,0.01
0.9,0.905,0.002,0.698,0.056,0.138,0.002,6.683,0.007
1,0.709,0.046,0.593,0.04,0.155,0.001,6.689,0.006
